tour,id,title,type,order,location,lat,lng,zoom,venue,date,thumbnail,url,excerpt
watercolor,driggs-mansion-1,Driggs Mansion No. 1,watercolor,5,"Driggs Mansion, CO",38.77105554,-108.7331667,,,,img/watercolors/thumbs/Driggs-Mansion-1-thumb.jpg,img/watercolors/Driggs%20Mansion%201.jpg,
watercolor,driggs-mansion-2,Driggs Mansion No. 2,watercolor,6,"Driggs Mansion, CO",38.77105554,-108.7331667,,,,img/watercolors/thumbs/Driggs-Mansion-2-thumb.jpg,img/watercolors/Driggs%20Mansion%202.jpg,
watercolor,elks-lodge,Elk's Lodge,watercolor,7,"Ouray, CO",38.02125635,-107.6712744,,,,img/watercolors/thumbs/Elks-Lodge-thumb.jpg,img/watercolors/Elk's%20Lodge.jpg,
watercolor,mato-tipi,Mato Tipi,watercolor,8,"Devils Tower, WY",44.5902,-104.7145,,,,img/watercolors/thumbs/Mato-Tipi-thumb.jpg,img/watercolors/Mato%20Tipi.jpg,
watercolor,row-tree,R.O.W Tree,watercolor,9,"Black Hills, WY",44.0997,-104.5636,,,,img/watercolors/thumbs/ROW-Tree-thumb.jpg,img/watercolors/ROW%20Tree.jpg,
watercolor,badlands-tipi,Badlands Tipi,watercolor,10,"Badlands National Park, SD",43.75,-101.9333,,,,img/watercolors/thumbs/Badlands-Tipi-thumb.jpg,img/watercolors/Badlands%20Tipi.jpg,
watercolor,medicine-wheel,Medicine Wheel,watercolor,11,"Bighorn Mountains, WY",44.8267,-107.9219,,,,img/watercolors/thumbs/Medicine-Wheel-thumb.jpg,img/watercolors/Medicine%20Wheel.jpg,
watercolor,old-faithful,Old Faithful,watercolor,12,"Yellowstone National Park, WY",44.4605,-110.8281,,,,img/watercolors/thumbs/Old-Faithful-thumb.jpg,img/watercolors/Old%20Faithful.jpg,
watercolor,yellowstone-falls,Yellowstone Falls,watercolor,13,"Yellowstone National Park, WY",44.7197,-110.4977,,,,img/watercolors/thumbs/Yellowstone-Falls-thumb.jpg,img/watercolors/Yellowstone%20Falls.jpg,
watercolor,boathouse-yellowstone,Boathouse in Yellowstone,watercolor,14,"Yellowstone Lake shore, Yellowstone National Park, WY",44.5555,-110.4028,,,,img/watercolors/thumbs/Boathouse-in-Yellowstone-thumb.jpg,img/watercolors/Boathouse%20in%20Yesllowstone.jpg,
watercolor,port-townsend,Port Townsend,watercolor,15,"Port Townsend, WA",48.1173,-122.7604,,,,img/watercolors/thumbs/Port-Townsend-thumb.jpg,img/watercolors/Port%20Townsend.jpg,
watercolor,indiana-dunes-1,Indiana Dunes No. 1,watercolor,16,"Indiana Dunes National Park, IN",41.6625,-87.0575,,,,img/watercolors/thumbs/Indiana-Dunes-1-thumb.jpg,img/watercolors/Indiana%20Dunes%201.jpg,
writing,stapled-pages,Stapled Pages,writing,1,"Schenectady, NY",42.8142,-73.9396,,Under the Gum Tree,Forthcoming,,,I didn't need him to say “I love you.” I felt it.
writing,border-of-their-kingdoms,The Border of Their Kingdoms,writing,2,"Schenectady, NY",42.8142,-73.9396,,"Sky Island Journal, Issue 36",Summer 2026,,https://www.skyislandjournal.com/s/Seth-Frame_Creative-Nonfiction_The-Border-of-Their-Kingdoms-aee6.docx,"I lie at the border of their kingdoms of sleep, careful not to tip the balance."
writing,something-carried-back-down,Something Carried Back Down,writing,3,"Prospect Mountain, NY",43.427,-73.7132,,Muleskinner Journal,2026,,https://www.muleskinnerjournal.com/something-carried-back-down,I had spent my whole life looking at distance. I just hadn't known it could stand up.
writing,black-caps,Black-Caps,writing,4,"Stone Ridge, NY",41.8232,-74.1204,,The Argyle,Mar. 2026,,https://www.theargylelitmag.com/nonfiction-4/black-caps,"Along the fence were rows of wild black-caps, their fruits falling away at a touch."
writing,water-in-the-wall,Water in the Wall,writing,5,"Aztec Ruins, NM",36.8378,-107.9997,,"Thin Places Journal, Issue Two",Jul. 2026,,https://thin-places.org/wp-content/uploads/2026/07/thin-places-issue-two-8.pdf,The green stone remains inside the wall.
writing,gods-of-heat-and-wind,The Gods of Heat and Wind,writing,6,"Fort Bottom Ruins, Canyonlands, UT",38.42,-109.96,,"Thomasonian, Issue 2",,,https://readthomasonian.my.canva.site/issue-2/the-gods-of-heat-and-wind,I thanked the gods who helped me get back to the car. I cursed the gods who tried to blow me off the rock.
writing,gestures-not-songs,"Gestures, Not Songs",writing,7,"Kaycee, WY",43.7247,-106.6382,,"Sky Island Journal, Issue 35",Spring 2026,,https://www.skyislandjournal.com/s/Seth-Frame_Creative-Nonfiction_Gestures-Not-Songs.docx,We reconstruct gestures but not songs.
writing,what-the-lake-holds,What the Lake Holds,writing,8,"Indiana Dunes National Park, IN",41.6625,-87.0575,,Great Lakes Review,Forthcoming,,,The lake holds what I cannot release.
writing,soft-edged-stars,Soft-Edged Stars,writing,9,"Guadalupe Peak, TX",31.8912,-104.8608,,Blood+Honey,Jan. 2026,,https://www.bloodhoneylit.com/cnf/soft-edged-stars,It was enough simply to be there.
